title,price,image,vendor,customerReviews,stars
DOMS Zoom Triangle Pencil 30 Pcs Jar,145.0,https://images-na.ssl-images-amazon.com/images/I/61Zgo9UKwbL._SX425_.jpg,DOMS,42 ratings,4.5
SYGA Professional Sketch and Drawing pencils ï¼ŒArt Pencil Box Contains 12 Pieces set B 2B 3B 4B 5B 6B 7B 8B HB H 2H F,249.0,https://images-na.ssl-images-amazon.com/images/I/71J6UgzIJQL._SX679_.jpg,Syga,219 ratings,4
Cello Pens Smarty Trendy Mechanical Pencils - Pack of 15,99.0,https://images-na.ssl-images-amazon.com/images/I/91iDR-oOHCL._SY879_.jpg,Cello Pens,95 ratings,4
Apsara Avengers Extra Dark Pencil,99.0,https://images-na.ssl-images-amazon.com/images/I/71Bz8BsqUDL._SX679_.jpg,Apsara,827 ratings,4.5
Parteet Birthday Party Return Gifts - Pack of 12 Extra Dark High Quality Pencils with Eraser for Kids - Assorted Designs,179.0,https://images-na.ssl-images-amazon.com/images/I/61o2IlBCIzL._SX466_.jpg,PARTEET,374 ratings,3
Faber-Castell Triangular Colour Pencils - Pack of 24 (Assorted),170.0,https://images-na.ssl-images-amazon.com/images/I/81yj4L70haL._SY606_.jpg,Faber-Castell,589 ratings,4.5
Nataraj Wooden Picture Pencils (Pack Of 50 Pencils 5 Sharpener Free),135.0,https://images-na.ssl-images-amazon.com/images/I/611hZSkk-tL.jpg,Nataraj,54 ratings,3
"Cello ColourUp Color Pencil Set -Break resistant body for writing, drawing and colouring, Works smoothly even on rough paper - Pack of 24",150.0,https://images-na.ssl-images-amazon.com/images/I/91mQ2j0El1L._SY450_.jpg,Cello,225 ratings,4.5
"Classmate Stationery Kit Bag - Drawing Book, Sketch Pen, Oil Pastel, Eraser, Crayons, Notebook, Scale, Sharpener, Octane Colour Burst Pen, Mechanical Pencil, Octane Glide Ball Pen, Scrapbook",425.0,https://images-na.ssl-images-amazon.com/images/I/71aqPlsAOeL._SY355_.jpg,Classmate,209 ratings,4.5
Faber-Castell Graded Drawing Pencil - Pack of 6 (Black),45.0,https://images-na.ssl-images-amazon.com/images/I/71cFiyfN75L._SY679_.jpg,Faber Castell,206 ratings,4.5
Apsara 101256005 Color Pencils - 26 Shades (Multicolor),225.0,https://images-na.ssl-images-amazon.com/images/I/61-0dp1duwL._SX425_.jpg,Apsara,85 ratings,4
Staedtler Luna Watercolor Pencil Pack of 48 Shades (With Free Gift),1399.0,https://images-na.ssl-images-amazon.com/images/I/51YkzW%2BzmiL._SY450_.jpg,Staedtler,79 ratings,4.5
Camlin Kokuyo Scholar Mathematical Drawing Instruments FREE camlin pen pencil,100.0,https://images-na.ssl-images-amazon.com/images/I/71bnFBTEHpL._SX679_.jpg,Camlin,141 ratings,4.5
"Trendy Tap Cartoon Anna Elsa Extra Dark Set of 12 Pencils and Eraser for Girls, Theme Party Fancy School Stationery",199.0,https://images-na.ssl-images-amazon.com/images/I/61z%2BA1vhG2L._SY741_.jpg,Trendy Tap,2 ratings,3
Camlin Charcoal Pencils - Soft (Pack Of 10),133.0,https://images-na.ssl-images-amazon.com/images/I/51tM-ursS0L._SX425_.jpg,Camlin,28 ratings,4.5
Camlin Kokuyo 4192567 24-Shade Full Size Colour Pencil Set (Assorted),89.0,https://images-na.ssl-images-amazon.com/images/I/91m7Vr3Kt2L._SY450_.jpg,Camlin,448 ratings,4
Paper Nest/Eco-Friendly/Recycled paper Pencils/Made from Old Newspapers (Set of 10 pencils),80.0,https://images-na.ssl-images-amazon.com/images/I/81JF7tA3q3L._SY679_.jpg,Paper Nest,79 ratings,4.5
Staedtler Luna Coloured Pencil Set - Pack of 48,548.0,https://images-na.ssl-images-amazon.com/images/I/91jeH-CRCEL._SX466_.jpg,Staedtler,151 ratings,4
"24x7 eMall Fur Panda Pencil Pouch Soft Toys for Children, Kids Favorite Pencil Box (Panda Fur)",189.0,https://images-na.ssl-images-amazon.com/images/I/61OKwkJg11L._SX466_.jpg,24x7 eMall,253 ratings,4
